
=== 1420 descrições fora dos registos paroquiais que cobrem 1700-1830 ===
[Pitta] 2832822  PT/ABM/AAC                     ..  Augusto Maria Camacho
[Pitta] 2833148  PT/ABM/AAC/00001               ..  Álbum fotográfico
[Pitta] 2833149  PT/ABM/AAC/00001/000001        ..1896  Retrato de Augusto Maria Camacho, sua esposa Maria Joana Jardim e quatro filhas, em local não identificado, na Ilha da Madeira
[Pitta] 2833150  PT/ABM/AAC/00001/000002        ..1896  Vista da cidade do Funchal
[Pitta] 2833151  PT/ABM/AAC/00001/000003        ..1896  Vista do porto e da baía do Funchal
[Pitta] 2833152  PT/ABM/AAC/00001/000004        ..  Vista da cidade e da baía do Funchal
[Pitta] 2833153  PT/ABM/AAC/00001/000005        ..  Vista da cidade e da baía do Funchal
[Pitta] 2833155  PT/ABM/AAC/00001/000006        ..  Entrada da cidade do Funchal (atual avenida Zarco), Freguesia da Sé, Concelho do Funchal
[Pitta] 2833163  PT/ABM/AAC/00001/000007        ..  Teatro D. Maria Pia (atual Teatro Municipal Baltasar Dias) e jardim Municipal, Freguesia da Sé, Concelho do Funchal
[Pitta] 2833168  PT/ABM/AAC/00001/000008        ..  Jardim Municipal do Funchal, Freguesia de São Pedro (atual Freguesia da Sé), Concelho do Funchal
[Pitta] 2833169  PT/ABM/AAC/00001/000009        ..  Lago do Jardim Municipal do Funchal, Freguesia de São Pedro (atual Freguesia da Sé), Concelho do Funchal
[Pitta] 2833170  PT/ABM/AAC/00001/000010        ..  Jardim Municipal do Funchal, Freguesia de São Pedro (atual Freguesia da Sé), Concelho do Funchal
[Pitta] 2833171  PT/ABM/AAC/00001/000011        ..  Jardim Municipal do Funchal, Freguesia de São Pedro (atual Freguesia da Sé), Concelho do Funchal
[Pitta] 2833173  PT/ABM/AAC/00001/000012        ..1896  Praça da Constituição (atual avenida Arriaga), Freguesia da Sé, Concelho do Funchal
[Pitta] 2833174  PT/ABM/AAC/00001/000013        ..1896  Nave da Sé do Funchal, Freguesia da Sé, Concelho do Funchal
[Pitta] 2833176  PT/ABM/AAC/00001/000014        ..1896  Torre e cabeceira da Sé do Funchal, Freguesia da Sé, Concelho do Funchal
[Pitta] 2833177  PT/ABM/AAC/00001/000015        ..1887  Igreja de Nossa Senhora do Monte, Freguesia do Monte, Concelho do Funchal
[Pitta] 2833178  PT/ABM/AAC/00001/000016        ..1896  Retrato de dois homens num carro de cesto do Monte e dois carreireiros
[Pitta] 2833179  PT/ABM/AAC/00001/000017        ..1896  Quinta Cossart (atual Quinta Jardins do Imperador), Freguesia do Monte, Concelho do Funchal
[Pitta] 2833180  PT/ABM/AAC/00001/000018        ..1896  Jardim da Quinta Cossart (atual Quinta Jardins do Imperador), Freguesia do Monte, Concelho do Funchal
[Pitta] 2833181  PT/ABM/AAC/00001/000019        ..1896  Retrato de um homem numa rede, Concelho do Funchal
[Pitta] 2833182  PT/ABM/AAC/00001/000020        ..1896  Retrato de dois homens num carro de bois, no Hotel Bela Vista (atual Seminário Diocesano), Freguesia de São Pedro (atual Freguesia da Sé), Concelho do Funchal
[Pitta] 2833185  PT/ABM/AAC/00001/000021        ..1896  Rua das Mercês, Freguesia de São Pedro, Concelho do Funchal
[Pitta] 2833187  PT/ABM/AAC/00001/000022        ..1896  Rua da Carreira, Freguesia de São Pedro (atuais Freguesias de São Pedro e da Sé), Concelho do Funchal
[Pitta] 2833191  PT/ABM/AAC/00001/000023        ..1896  Retrato de um homem com vestuário tradicional (corpo inteiro)
[Pitta] 2833193  PT/ABM/AAC/00001/000024        ..1896  Vista da vila (atual cidade) de Câmara de Lobos, Freguesia e Concelho de Câmara de Lobos
[Pitta] 2833195  PT/ABM/AAC/00001/000025        ..1896  Vista da baía e cais da Ponta do Sol, Freguesia e Concelho da Ponta do Sol
[Pitta] 2833200  PT/ABM/AAC/00001/000026        ..1896  Vista da vila (atual cidade) de Machico, Freguesia e Concelho de Machico
[Pitta] 2833206  PT/ABM/AAC/00001/000027        ..1896  Cascata de Água d'Alto, Freguesia de Boaventura, Concelho de São Vicente
[Pitta] 2833212  PT/ABM/AAC/00001/000028        ..1896  Cascatas das 25 Fontes, no Rabaçal, Concelho da Calheta
[Pitta] 2833214  PT/ABM/AAC/00001/000029        ..1896  Cascata no Rabaçal, Concelho da Calheta
[Pitta] 2833216  PT/ABM/AAC/00001/000030        ..1896  Largo da Achada (atual largo Conselheiro Aires de Ornelas), Freguesia da Camacha, Concelho de Santa Cruz
[Pitta]  77753  PT/ABM/ACB/A                   ..  Cidade e Concelho do Funchal
[Pitta]  72688  PT/ABM/ACB/A/001/000001        ..  Construção do molhe do Porto do Funchal (união entre o ilhéu de São José e o ilhéu de Nossa Senhora da Conceição), Freguesia de São Pedro (atual Freguesia da Sé), Concelho do Funchal
[Pitta]  72740  PT/ABM/ACB/A/001/000002        ..  Vista do molhe do Porto do Funchal em construção a partir de edifício na rua das Fontes, Freguesia da Sé, Concelho do Funchal
[Pitta]  77755  PT/ABM/ACB/A/002               ..  Hotéis
[Pitta]  72744  PT/ABM/ACB/A/002/000001        ..  Fachada sul do Cardwell's Hotel na estrada Monumental, Freguesia de São Martinho, Concelho do Funchal
[Pitta]  72745  PT/ABM/ACB/A/002/000002        ..  Fachada norte do Cardwell's Hotel na estrada Monumental, Freguesia de São Martinho, Concelho do Funchal
[Pitta]  72746  PT/ABM/ACB/A/002/000003        ..  Vista do Cardwell's Hotel no sítio do Salto do Cavalo a partir do Redondo (atual largo António Nobre), Freguesia de São Martinho, Concelho do Funchal
[Pitta]  72747  PT/ABM/ACB/A/002/000004        ..  Fachada principal do Hotel Imperial na rua Imperatriz D. Amélia, Freguesia de São Pedro (atual Freguesia da Sé), Concelho do Funchal
[Pitta]  77756  PT/ABM/ACB/A/003               ..  Jardim Municipal
[Pitta]  72697  PT/ABM/ACB/A/003/000001        ..  Lagoa do Jardim Municipal (vista sul/norte), Freguesia de São Pedro (atual Freguesia da Sé), Concelho do Funchal
[Pitta]  72698  PT/ABM/ACB/A/003/000002        ..  Jardim Municipal e teatro D. Maria Pia (atual teatro municipal Baltazar Dias), Freguesia da Sé, Concelho do Funchal
[Pitta]  72699  PT/ABM/ACB/A/003/000003        ..  Vista parcial (sul/norte) do Jardim Municipal e da cidade do Funchal 
[Pitta]  72758  PT/ABM/ACB/A/003/000004        ..  Vista parcial (sudeste/noroeste) do Jardim Municipal e da cidade do Funchal
[Pitta]  72759  PT/ABM/ACB/A/003/000005        ..  Vista parcial (sudoeste/nordeste) do Jardim Municipal e da cidade do Funchal
[Pitta]  72760  PT/ABM/ACB/A/003/000006        ..  Lagoa do Jardim Municipal (vista sul/norte), Freguesia de São Pedro, Concelho do Funchal
[Pitta]  77757  PT/ABM/ACB/A/004               ..1895  Paisagens rurais do concelho do Funchal
[Pitta]  72710  PT/ABM/ACB/A/004/000001        ..1895  Vista do sítio das Virtudes, Freguesia de São Martinho, Concelho do Funchal
[Pitta]  72711  PT/ABM/ACB/A/004/000002        ..1895  Vista da Quinta Bettencourt no caminho do Pilar, Freguesia de São Pedro, Concelho do Funchal
[Pitta]  72742  PT/ABM/ACB/A/004/000003        ..  Vista do sítio do Salto do Cavalo, Freguesia de São Martinho, Concelho do Funchal
[Pitta]  72743  PT/ABM/ACB/A/004/000004        ..  Vista dos sítios do Salto do Cavalo, dos Ilhéus e da Penha de França, Freguesias de São Martinho e São Pedro (atual Freguesia da Sé), Concelho do Funchal
[Pitta]  72753  PT/ABM/ACB/A/004/000005        ..1895  Vista do sítio de São João, Freguesia de São Pedro, Concelho do Funchal
[Pitta]  77758  PT/ABM/ACB/A/005               ..  Praia da cidade do Funchal
[Pitta]  72410  PT/ABM/ACB/A/005/000001        ..  Vista oeste/este da praia da cidade do Funchal com barcos varados e o Pilar de Banger
[Pitta]  77759  PT/ABM/ACB/A/006               ..1895  Praças, ruas e largos
[Pitta]  72677  PT/ABM/ACB/A/006/000001        ..1888  Ribeira de Santa Luzia, vista de jusante para montante, ladeada pela rua do Príncipe (atual rua 5 de Outubro) e rua da Princesa (atual rua 31 de Janeiro), Concelho do Funchal
[Pitta]  72312  PT/ABM/ACB/A/006/000002        ..1876  Entrada da Cidade, Freguesia da Sé, Concelho do Funchal
[Pitta]  72680  PT/ABM/ACB/A/006/000003        ..1895  Largo da Fonte, Freguesia do Monte, Concelho do Funchal
[Pitta]  72703  PT/ABM/ACB/A/006/000004        ..1895  Rua da Bela Vista (atual rua do Quebra Costas), Freguesia de São Pedro, Concelho do Funchal
[Pitta]  72704  PT/ABM/ACB/A/006/000005        ..1895  Moinho de água no largo do Marquês (atual largo da Saúde), Freguesia de São Pedro, Concelho do Funchal
[Pitta]  72705  PT/ABM/ACB/A/006/000006        ..1895  Largo da Fonte, Freguesia do Monte, Concelho do Funchal
